=== Table 1 (page 4) ===
,,APA FY25 Annual Report,"APA Greenhouse Gas Emissions & Energy 
APA Climate Transition Plan"
,,Sustainability Data Book Index,
REPORTING STANDARDS NAVIGATOR,,(including Climate Report),"Calculation Methodology
2025"
,Sustainability Accounting Standards Board Index,,
SASB sector,Code,Accounting metric,APA response / reference FY25
GOVERNANCE,,,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-520a.1,Total amount of monetary losses as a result,APA Annual Report 2025 - Environment
,,of legal proceedings associated with federal,APA FY25 Sustainability Data Book - (Infrastructure & Business Intelligence)
,,pipeline and storage regulations,
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"
Infrastructure - Gas Utilities & Distributors,IF-GU-540a.1 EM-MD-,"Number of reportable pipeline incidents,",Metric partially disclosed
,540a.1,percentage significant,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),,,APA FY25 Sustainability Data Book -  (Environment)
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"
Infrastructure - Electric Utilities & Power Generators,IF-EU-140a.2,Number of incidents of non-compliance,Metric partially disclosed
,,associated with water quantity and/or,
,,"quality permits, standards, and regulations",APA FY25 Sustainability Data Book - (Environment) &  (Infrastructure & Business Intelligence)
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets
,,,"to reflect all APA asset types and regulatory compliance landscape (inc. environment, health and"
,,,safety)
Infrastructure - Electric Utilities & Power Generators,IF-EU-550a.1,Number of incidents of non-compliance with,Metric partially disclosed
,,physical and/or cybersecurity standards or,
,,regulations,APA FY25 Sustainability Data Book - (Infrastructure & Business Intelligence)
INFRASTRUCTURE,,,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),,IF-GU-000.B EM-MD-000.A Amount (total) of natural gas delivered to:,Metric partially disclosed
,,(1) residential customers,
,,(2) commercial customers,APA FY25 Sustainability Data Book - (Infrastructure & Business Intelligence)
,,(3) industrial customers,
,,(4) transferred to a third party,
Infrastructure - Gas Utilities & Distributors,IF-GU-000.C,Length of gas:,APA Annual Report 2025 – About APA
,,(1) transmission,
,,(2) distribution pipelines,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-540a.2 IF-GU-,Percentage of natural gas pipelines,Metric partially disclosed
,540a.3,inspected,
Infrastructure - Gas Utilities & Distributors,,,APA FY25 Sustainability Data Book - (Infrastructure & Business Intelligence)
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets
,,,"to reflect all APA asset types and regulatory compliance landscape (inc. environment, health and"
,,,safety)
Infrastructure - Electric Utilities & Power Generators,IF-EU-000.B,Total electricity delivered to:,Metric partially disclosed
,,(1) residential,
,,(2) commercial,APA FY25 Sustainability Data Book -  (Infrastructure & Business Intelligence)
,,"(3) industrial,",
,,(4) all other retail customers,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets
,,(5) wholesale customers,"to reflect all APA asset types and regulatory compliance landscape (inc. environment, health and"
,,,safety)
Infrastructure - Electric Utilities & Power Generators,IF-EU-000.C,Length of transmission and distribution lines,APA Annual Report 2025 – About APA
Infrastructure - Electric Utilities & Power Generators,IF-EU-000.D,"Total electricity generated, % by major",APA FY25 Sustainability Data Book - (Infrastructure & Business Intelligence)
,,"energy source, % in regulated markets",
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"
Infrastructure - Electric Utilities & Power Generators,IF-EU-000.E,Total wholesale electricity purchased,Metric not disclosed
Renewable Resources & Alternative Energy - Solar Technology & Project Developers,RR-ST-000.B,Total capacity of completed solar energy,APA FY25 Sustainability Data Book - (Infrastructure & Business Intelligence)
,,systems,
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"
GREENHOUSE GAS (GHG) EMISSIONS,,,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-110a.1 IF-EU-110a.1,"Gross global Scope 1 emissions, percentage",APA Climate Transition Plan 2025
,,covered under:,APA FY25 Sustainability Data Book - Climate
Infrastructure - Electric Utilities & Power Generators,,"(1) emissions- limiting regulations, and",
,,(2) emissions- reporting regulation,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"

=== Table 2 (page 5) ===
Infrastructure - Electric Utilities & Power Generators,IF-EU-110a.2,Greenhouse gas (GHG) emissions,APA Climate Transition Plan 2025
,,associated with power deliveries,
,,,APA FY25 Sustainability Data Book - Climate
,,,Note: Metric scope expanded beyond original SASB Sub-Sector(s) assets to reflect all APA asset types
,,,and regulatory compliance landscape.
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-110a.2 IF-EU-110a.3,Discussion of long-term and short-term,APA Climate Transition Plan 2025
,,strategy or plan to manage Scope 1,
Infrastructure - Electric Utilities & Power Generators,,"emissions, emissions reduction targets, and",APA Annual Report 2025 - Climate Report
,,an analysis of performance against those,
,,targets,
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"
,,,Note: Metric scope expanded beyond original SASB Sub-Sector(s) assets to reflect all APA asset types
,,,and regulatory compliance landscape.
ENERGY,,,
Renewable Resources & Alternative Energy - Solar Technology & Project Developers,RR-ST-130a.1,(1) Total energy consumed,APA Climate Transition Plan 2025
,,(2) percentage grid electricity,APA FY25 Sustainability Data Book - Climate
,,(3) percentage renewable,
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect all APA asset types
,,,"and regulatory compliance landscape (inc. environment, health and safety)"
SOCIETY,,,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-540a.4,Discussion of management systems used,APA Annual Report 2025 - Infrastructure & Business Intelligence
,,to integrate a culture of safety and,
,,emergency preparedness throughout the,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect management
,,value chain and throughout project,systems that apply to total APA asset portfolio.
,,lifecycles,
Infrastructure - Electric Utilities & Power Generators,IF-EU-320a.1 RR-WT-320a.1,(1) Total recordable incident rate (TRIR),Metric partially disclosed
,,(2) fatality rate,
Renewable Resources & Alternative Energy - Wind Technology & Project Developers,,(3) near miss frequency rate (NMFR),APA Annual Report 2025 - People
,,,APA FY25 Sustainability Data Book - (People)
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect safety statistics that
,,,apply to the total APA asset portfolio.
Infrastructure - Gas Utilities & Distributors,IF-GU-540a.4,Description of efforts to manage the integrity,APA Annual Report 2025 - Infrastructure & Business Intelligence
,,"of gas delivery infrastructure, including risks",APA Annual Report 2025 - Risks and Opportunities
,,related to safety and emissions,
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect infrastructure process
,,,safety and integrity efforts across total APA asset portfolio.
VALUE CHAIN,,,
Infrastructure - Electric Utilities & Power Generators; Gas Utilities & Distributors,IF-EU-000.A IF-GU-000.A,Number of customers served:,Metric partially disclosed
,,(1) residential,
,,(2) commercial,APA Annual Report 2025 - Our Customers & Partners
,,(3) industrial,APA FY25 Sustainability Data Book - (Customers & Partners)
,,,Note: Metric has been allocated by APA division customers (excluding customers of assets currently
,,,under construction by the Infrastructure Development division).
ENVIRONMENT,,,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-160a.1,Description of environmental management,Metric partially disclosed
,,policies and practices for active operations,
,,,APA Annual Report 2025 - Environment
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect total APA asset
,,,portfolio.
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-160a.4 & RR-ST-,Number and aggregate quantity of,Metric partially disclosed
,150a.2,"reportable spills, quantity recovered",
Renewable Resources & Alternative Energy - Solar Technology & Project Developers,,,APA FY25 Sustainability Data Book - (Environment)
,,,Note: Metric scope expanded beyond original SASB Sub Sector(s) assets to reflect reportable spill
,,,incidents on total APA asset portfolio. Omission: spills in Artic not relevant to APA business (EM-MD-
,,,160a.4 measure)
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-160a.2,"Percentage of land owned, leased, and/or",Metric not disclosed
,,operated within areas of protected,
,,conservation status or endangered,
,,species habitat,
Extractives & Minerals Processing Sector - Oil & Gas (Midstream),EM-MD-160a.3,"Terrestrial acreage disturbed, percentage of",Metric not disclosed
,,impacted area restored,

=== Table 3 (page 9) ===
