=== Table 1 (page 19) ===
Our Commitments and Targets,,
Theme,A Positive Climate,
Priority Topic,Climate Change,
Goal,Improve our GHG footprint,Increase the climate resilience of
,,our operations
Commitment,"1. 
To comprehensively analyse and disclose",Our organisation will consider appropriate
,our organisational GHG footprint,targets and performance metrics as we
,,work through our mandatory climate-
,"2. 
Seek to register a climate commitment",
,,financial related disclosure requirements
,and targets with the Science Based Targets,
,,over the coming years
,"initiative (SBTi), by end of FY2025",
Target,As above,–
Target Date,30/06/25,–
Baseline Year,FY2024,–
Baseline Performance,"– Net GHG emissions: 66,615 tCO2e",
,"–
Scope 1 GHG emissions: 12,651 tCO2e",

=== Table 2 (page 38) ===
Data and Metrics continued,
THEME,COMMUNITY AND PARTNERSHIPS
Priority Topic,Impactful Partnerships
Goal,Partner with organisations to achieve our ambitions
Commitment,CBO will consider our ambition and potential commitments/targets in FY2025
Target,
Target Date,
Baseline Year,
Performance Metrics,
Measure,
THEME,THE JOY OF HEALTHY EATING
Priority Topic,Health and Nutrition
Goal,Increase awareness of the health and nutrition benefits of consuming extra virgin olive oil
Commitment,Increase healthcare professional awareness and understanding of the health benefits of extra
,virgin olive oil
Target,"Reach at least 2,000 health care professionals through conferences and events each year"
,Increase HCP awareness and understanding of the benefits of extra virgin olive oil by 2030
Target Date,Annually and 2030
Baseline Year,–
Performance Metrics,– HCP engagement
,"–
Key opinion leader engagement"
Measure,"–
Total number of HCPs engaged via conferences, events, and presentations"
,"–
Total number of key opinion leaders engaged"
THEME,A POSITIVE CLIMATE
Priority Topic,Climate Change
Goal,Improve our GHG footprint
Commitment,"Comprehensively analyse and disclose  
Seek to register a climate commitment"
,"our GHG footprint
and targets with the Science Based Targets"
,initiative (SBTi)
Target,"As above
As above"
Target Date,"Annually
FY2025"
Baseline Year,"Not applicable
Not applicable"
Performance Metrics,"–
Scope 1, 2 and 3 GHG emissions"
,"–
Energy consumption"
Measure,"–
Total Scope 1 GHG emissions: tCO2e"
,"–
Total Scope 2 GHG emissions: tCO2e"
